leakage_date,leakage_category,leakage_amount,plan_name,region
01-01-2024,Partial Payment,0.96,Basic,East
01-01-2024,Unpaid Invoice,50,Pro,North
01-01-2024,Unpaid Invoice,10,Basic,East
01-01-2024,Partial Payment,6.91,Enterprise,West
01-01-2024,Partial Payment,14.73,Enterprise,South
01-01-2024,Partial Payment,2.68,Pro,South
01-01-2024,Partial Payment,0.35,Basic,South
01-01-2024,Partial Payment,0.51,Basic,West
01-01-2024,Partial Payment,2.84,Pro,West
01-01-2024,Unpaid Invoice,50,Pro,South
01-01-2024,Unpaid Invoice,10,Basic,East
01-01-2024,Partial Payment,3.1,Pro,North
01-01-2024,Unpaid Invoice,10,Basic,South
01-01-2024,Unpaid Invoice,10,Basic,East
01-01-2024,Partial Payment,0.16,Basic,West
01-01-2024,Partial Payment,0.63,Basic,East
01-01-2024,Partial Payment,15.8,Enterprise,West
01-01-2024,Partial Payment,2.54,Pro,East
01-01-2024,Partial Payment,3.06,Pro,East
01-01-2024,Partial Payment,0.35,Basic,West
01-01-2024,Unpaid Invoice,200,Enterprise,North
01-01-2024,Unpaid Invoice,50,Pro,East
01-01-2024,Unpaid Invoice,50,Pro,East
01-01-2024,Partial Payment,0.84,Basic,North
01-01-2024,Unpaid Invoice,50,Pro,West
01-01-2024,Partial Payment,1.59,Pro,North
01-01-2024,Unpaid Invoice,10,Basic,East
01-01-2024,Partial Payment,0.55,Basic,North
01-01-2024,Partial Payment,12,Enterprise,South
01-01-2024,Partial Payment,4.17,Enterprise,East
01-01-2024,Partial Payment,9.69,Enterprise,West
01-01-2024,Partial Payment,11.5,Enterprise,North
01-01-2024,Partial Payment,0.92,Pro,North
01-01-2024,Unpaid Invoice,50,Pro,West
01-01-2024,Partial Payment,1.82,Pro,South
01-01-2024,Unpaid Invoice,50,Pro,West
01-01-2024,Unpaid Invoice,50,Pro,North
01-01-2024,Unpaid Invoice,200,Enterprise,East
01-01-2024,Partial Payment,1.57,Pro,East
01-01-2024,Partial Payment,0.71,Pro,East
01-01-2024,Unpaid Invoice,50,Pro,West
01-01-2024,Partial Payment,3.51,Pro,North
01-01-2024,Partial Payment,0.48,Basic,West
01-01-2024,Unpaid Invoice,50,Pro,South
01-01-2024,Unpaid Invoice,50,Pro,East
01-01-2024,Unpaid Invoice,10,Basic,West
01-01-2024,Partial Payment,0.54,Pro,West
01-01-2024,Unpaid Invoice,200,Enterprise,South
01-01-2024,Unpaid Invoice,10,Basic,West
01-01-2024,Unpaid Invoice,50,Pro,East
01-02-2024,Unpaid Invoice,200,Enterprise,South
01-02-2024,Unpaid Invoice,200,Enterprise,South
01-02-2024,Partial Payment,6.47,Enterprise,North
01-02-2024,Partial Payment,0.85,Basic,West
01-02-2024,Unpaid Invoice,10,Basic,East
01-02-2024,Partial Payment,10.93,Enterprise,West
01-02-2024,Partial Payment,17.34,Enterprise,South
01-02-2024,Partial Payment,0.17,Basic,North
01-02-2024,Partial Payment,0.68,Basic,East
01-02-2024,Partial Payment,0.17,Basic,South
01-02-2024,Partial Payment,4.75,Pro,West
01-02-2024,Partial Payment,4.3,Pro,West
01-02-2024,Partial Payment,12.19,Enterprise,East
01-02-2024,Unpaid Invoice,50,Pro,West
01-02-2024,Partial Payment,0.59,Pro,West
01-02-2024,Partial Payment,0.72,Basic,West
01-02-2024,Unpaid Invoice,50,Pro,West
01-02-2024,Partial Payment,0.53,Basic,West
01-02-2024,Partial Payment,1.69,Pro,North
01-02-2024,Unpaid Invoice,10,Basic,West
01-02-2024,Partial Payment,5.41,Enterprise,North
01-02-2024,Partial Payment,2.5,Pro,North
01-02-2024,Partial Payment,1.57,Pro,South
01-02-2024,Partial Payment,0.61,Basic,West
01-02-2024,Partial Payment,1.11,Pro,North
01-02-2024,Partial Payment,0.19,Basic,East
01-02-2024,Unpaid Invoice,200,Enterprise,South
01-02-2024,Unpaid Invoice,10,Basic,North
01-02-2024,Partial Payment,0.38,Basic,North
01-02-2024,Partial Payment,3.48,Pro,West
01-02-2024,Partial Payment,2.26,Enterprise,South
01-02-2024,Partial Payment,2.54,Pro,East
01-02-2024,Unpaid Invoice,50,Pro,East
01-02-2024,Partial Payment,5.81,Enterprise,West
01-02-2024,Unpaid Invoice,50,Pro,North
01-02-2024,Unpaid Invoice,10,Basic,South
01-02-2024,Partial Payment,0.43,Basic,South
01-02-2024,Partial Payment,0.8,Basic,West
01-02-2024,Unpaid Invoice,200,Enterprise,South
01-02-2024,Partial Payment,0.14,Basic,West
01-02-2024,Partial Payment,9.05,Enterprise,South
01-03-2024,Partial Payment,4.83,Enterprise,North
01-03-2024,Partial Payment,1.8,Pro,South
01-03-2024,Unpaid Invoice,50,Pro,West
01-03-2024,Partial Payment,16.06,Enterprise,North
01-03-2024,Partial Payment,3.7,Pro,North
