record_date,month_year,customer_id,region,plan_name,subscription_status,invoiced_amount,paid_amount,is_zombie_invoice,is_ghost_subscriber,leakage_amount,status_label
2024-01-01,2024-01,1001,East,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1002,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1003,North,Enterprise,Cancelled,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1004,East,Basic,Active,10.00,9.04,0,0,0.96,"Partial Payment"
2024-01-01,2024-01,1005,East,Pro,Cancelled,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1006,West,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1007,North,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1008,North,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1009,East,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1010,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1011,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1012,East,Basic,Cancelled,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1013,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1014,East,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1015,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1016,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1017,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1018,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1019,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1020,East,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1021,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1022,North,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1023,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1024,West,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1025,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1026,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1027,South,Pro,Active,50.00,50.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1028,South,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1029,West,Basic,Active,10.00,10.00,0,0,0.00,"Clean Transaction"
2024-01-01,2024-01,1030,West,Enterprise,Active,200.00,200.00,0,0,0.00,"Clean Transaction"
