invoice_id,sub_id,invoice_date,due_date,amount
10001,5001,2024-01-01,2024-01-15,10.0
10002,5002,2024-01-01,2024-01-15,10.0
10003,5003,2024-01-01,2024-01-15,200.0
10004,5004,2024-01-01,2024-01-15,10.0
10005,5005,2024-01-01,2024-01-15,50.0
10006,5006,2024-01-01,2024-01-15,10.0
10007,5007,2024-01-01,2024-01-15,200.0
10008,5008,2024-01-01,2024-01-15,50.0
10009,5009,2024-01-01,2024-01-15,200.0
10010,5010,2024-01-01,2024-01-15,50.0
10011,5011,2024-01-01,2024-01-15,10.0
10012,5012,2024-01-01,2024-01-15,10.0
10013,5013,2024-01-01,2024-01-15,10.0
10014,5014,2024-01-01,2024-01-15,10.0
10015,5015,2024-01-01,2024-01-15,10.0
10016,5016,2024-01-01,2024-01-15,10.0
10017,5017,2024-01-01,2024-01-15,50.0
10018,5018,2024-01-01,2024-01-15,50.0
10019,5019,2024-01-01,2024-01-15,200.0
10020,5020,2024-01-01,2024-01-15,50.0
10021,5021,2024-01-01,2024-01-15,50.0
10022,5022,2024-01-01,2024-01-15,10.0
10023,5023,2024-01-01,2024-01-15,200.0
10024,5024,2024-01-01,2024-01-15,50.0
10025,5025,2024-01-01,2024-01-15,200.0
10026,5026,2024-01-01,2024-01-15,50.0
10027,5027,2024-01-01,2024-01-15,50.0
10028,5028,2024-01-01,2024-01-15,200.0
10029,5029,2024-01-01,2024-01-15,10.0
10030,5030,2024-01-01,2024-01-15,200.0
10031,5031,2024-01-01,2024-01-15,10.0
10032,5032,2024-01-01,2024-01-15,50.0
10033,5033,2024-01-01,2024-01-15,50.0
10034,5034,2024-01-01,2024-01-15,50.0
10035,5035,2024-01-01,2024-01-15,200.0
10036,5036,2024-01-01,2024-01-15,200.0
10037,5037,2024-01-01,2024-01-15,10.0
10038,5038,2024-01-01,2024-01-15,200.0
10039,5039,2024-01-01,2024-01-15,10.0
10040,5040,2024-01-01,2024-01-15,10.0
10041,5041,2024-01-01,2024-01-15,50.0
10042,5042,2024-01-01,2024-01-15,10.0
10043,5043,2024-01-01,2024-01-15,50.0
10044,5044,2024-01-01,2024-01-15,50.0
10045,5045,2024-01-01,2024-01-15,10.0
10046,5046,2024-01-01,2024-01-15,200.0
10047,5047,2024-01-01,2024-01-15,10.0
10048,5048,2024-01-01,2024-01-15,10.0
10049,5049,2024-01-01,2024-01-15,200.0
10050,5050,2024-01-01,2024-01-15,50.0
10051,5051,2024-01-01,2024-01-15,50.0
10052,5052,2024-01-01,2024-01-15,200.0
10053,5053,2024-01-01,2024-01-15,200.0
10054,5054,2024-01-01,2024-01-15,10.0
10055,5055,2024-01-01,2024-01-15,200.0
10056,5056,2024-01-01,2024-01-15,200.0
10057,5057,2024-01-01,2024-01-15,200.0
10058,5058,2024-01-01,2024-01-15,50.0
10059,5059,2024-01-01,2024-01-15,10.0
10060,5061,2024-01-01,2024-01-15,50.0
10061,5062,2024-01-01,2024-01-15,50.0
10062,5063,2024-01-01,2024-01-15,10.0
10063,5064,2024-01-01,2024-01-15,10.0
10064,5065,2024-01-01,2024-01-15,50.0
10065,5066,2024-01-01,2024-01-15,10.0
10066,5067,2024-01-01,2024-01-15,50.0
10067,5068,2024-01-01,2024-01-15,200.0
10068,5069,2024-01-01,2024-01-15,200.0
10069,5070,2024-01-01,2024-01-15,200.0
10070,5071,2024-01-01,2024-01-15,200.0
10071,5072,2024-01-01,2024-01-15,200.0
10072,5073,2024-01-01,2024-01-15,200.0
10073,5074,2024-01-01,2024-01-15,10.0
10074,5075,2024-01-01,2024-01-15,200.0
10075,5076,2024-01-01,2024-01-15,200.0
10076,5077,2024-01-01,2024-01-15,10.0
10077,5078,2024-01-01,2024-01-15,50.0
10078,5079,2024-01-01,2024-01-15,10.0
10079,5080,2024-01-01,2024-01-15,200.0
10080,5081,2024-01-01,2024-01-15,50.0
10081,5082,2024-01-01,2024-01-15,10.0
10082,5083,2024-01-01,2024-01-15,50.0
10083,5084,2024-01-01,2024-01-15,50.0
10084,5085,2024-01-01,2024-01-15,10.0
10085,5086,2024-01-01,2024-01-15,10.0
10086,5087,2024-01-01,2024-01-15,50.0
10087,5088,2024-01-01,2024-01-15,50.0
10088,5089,2024-01-01,2024-01-15,10.0
10089,5090,2024-01-01,2024-01-15,50.0
10090,5091,2024-01-01,2024-01-15,10.0
10091,5092,2024-01-01,2024-01-15,10.0
10092,5093,2024-01-01,2024-01-15,50.0
10093,5094,2024-01-01,2024-01-15,10.0
10094,5095,2024-01-01,2024-01-15,50.0
10095,5096,2024-01-01,2024-01-15,50.0
10096,5098,2024-01-01,2024-01-15,200.0
10097,5099,2024-01-01,2024-01-15,200.0
10098,5100,2024-01-01,2024-01-15,10.0
10099,5101,2024-01-01,2024-01-15,200.0
10100,5102,2024-01-01,2024-01-15,200.0
10101,5103,2024-01-01,2024-01-15,200.0
10102,5105,2024-01-01,2024-01-15,50.0
10103,5106,2024-01-01,2024-01-15,10.0
10104,5107,2024-01-01,2024-01-15,10.0
10105,5108,2024-01-01,2024-01-15,50.0
10106,5109,2024-01-01,2024-01-15,50.0
10107,5110,2024-01-01,2024-01-15,10.0
10108,5111,2024-01-01,2024-01-15,200.0
10109,5112,2024-01-01,2024-01-15,200.0
10110,5113,2024-01-01,2024-01-15,10.0
10111,5114,2024-01-01,2024-01-15,10.0
10112,5115,2024-01-01,2024-01-15,200.0
10113,5116,2024-01-01,2024-01-15,200.0
10114,5117,2024-01-01,2024-01-15,50.0
10115,5118,2024-01-01,2024-01-15,200.0
10116,5119,2024-01-01,2024-01-15,50.0
10117,5120,2024-01-01,2024-01-15,50.0
10118,5121,2024-01-01,2024-01-15,200.0
10119,5122,2024-01-01,2024-01-15,10.0
10120,5123,2024-01-01,2024-01-15,200.0
10121,5124,2024-01-01,2024-01-15,10.0
10122,5125,2024-01-01,2024-01-15,50.0
10123,5126,2024-01-01,2024-01-15,10.0
10124,5127,2024-01-01,2024-01-15,50.0
10125,5128,2024-01-01,2024-01-15,200.0
10126,5129,2024-01-01,2024-01-15,10.0
10127,5130,2024-01-01,2024-01-15,50.0
10128,5131,2024-01-01,2024-01-15,50.0
10129,5132,2024-01-01,2024-01-15,50.0
10130,5133,2024-01-01,2024-01-15,200.0
10131,5134,2024-01-01,2024-01-15,200.0
10132,5135,2024-01-01,2024-01-15,200.0
10133,5136,2024-01-01,2024-01-15,10.0
10134,5137,2024-01-01,2024-01-15,10.0
10135,5138,2024-01-01,2024-01-15,200.0
10136,5139,2024-01-01,2024-01-15,50.0
10137,5140,2024-01-01,2024-01-15,10.0
10138,5141,2024-01-01,2024-01-15,50.0
10139,5142,2024-01-01,2024-01-15,10.0
10140,5143,2024-01-01,2024-01-15,10.0
10141,5144,2024-01-01,2024-01-15,200.0
10142,5145,2024-01-01,2024-01-15,10.0
10143,5146,2024-01-01,2024-01-15,200.0
10144,5147,2024-01-01,2024-01-15,200.0
10145,5148,2024-01-01,2024-01-15,50.0
10146,5149,2024-01-01,2024-01-15,50.0
10147,5150,2024-01-01,2024-01-15,10.0
10148,5151,2024-01-01,2024-01-15,50.0
10149,5152,2024-01-01,2024-01-15,50.0
10150,5153,2024-01-01,2024-01-15,200.0
10151,5154,2024-01-01,2024-01-15,200.0
10152,5155,2024-01-01,2024-01-15,10.0
10153,5156,2024-01-01,2024-01-15,50.0
10154,5157,2024-01-01,2024-01-15,200.0
10155,5158,2024-01-01,2024-01-15,50.0
10156,5159,2024-01-01,2024-01-15,50.0
10157,5160,2024-01-01,2024-01-15,10.0
10158,5161,2024-01-01,2024-01-15,200.0
10159,5162,2024-01-01,2024-01-15,10.0
10160,5163,2024-01-01,2024-01-15,10.0
10161,5164,2024-01-01,2024-01-15,50.0
10162,5165,2024-01-01,2024-01-15,10.0
10163,5166,2024-01-01,2024-01-15,50.0
10164,5167,2024-01-01,2024-01-15,10.0
