payment_id,invoice_id,payment_date,amount_paid
20001,10001,2024-01-08,10.0
20002,10002,2024-01-04,10.0
20003,10003,2024-01-17,200.0
20004,10004,2024-01-11,9.04
20005,10005,2024-01-14,50.0
20006,10006,2024-01-12,10.0
20007,10007,2024-01-16,200.0
20008,10008,2024-01-13,50.0
20009,10009,2024-01-10,200.0
20010,10010,2024-01-15,50.0
20011,10011,2024-01-12,10.0
20012,10012,2024-01-12,10.0
20013,10013,2024-01-02,10.0
20014,10014,2024-01-19,10.0
20015,10015,2024-01-11,10.0
20016,10016,2024-01-18,10.0
20017,10017,2024-01-19,50.0
20018,10018,2024-01-10,50.0
20019,10019,2024-01-16,200.0
20020,10020,2024-01-19,50.0
20021,10021,2024-01-01,50.0
20022,10022,2024-01-12,10.0
20023,10023,2024-01-09,200.0
20024,10024,2024-01-08,50.0
20025,10025,2024-01-18,200.0
20026,10026,2024-01-15,50.0
20027,10027,2024-01-14,50.0
20028,10028,2024-01-10,200.0
20029,10029,2024-01-03,10.0
20030,10030,2024-01-15,200.0
20031,10031,2024-01-17,10.0
20032,10033,2024-01-03,50.0
20033,10034,2024-01-01,50.0
20034,10035,2024-01-14,200.0
20035,10036,2024-01-02,200.0
20036,10037,2024-01-05,10.0
20037,10038,2024-01-04,200.0
20038,10039,2024-01-07,10.0
20039,10041,2024-01-08,50.0
20040,10042,2024-01-08,10.0
20041,10043,2024-01-09,50.0
20042,10044,2024-01-18,50.0
20043,10045,2024-01-01,10.0
20044,10046,2024-01-20,193.09
20045,10047,2024-01-12,10.0
20046,10048,2024-01-20,10.0
20047,10049,2024-01-11,200.0
20048,10050,2024-01-07,50.0
20049,10051,2024-01-01,50.0
20050,10052,2024-01-09,200.0
20051,10053,2024-01-09,200.0
20052,10054,2024-01-07,10.0
20053,10055,2024-01-06,200.0
20054,10056,2024-01-04,200.0
20055,10057,2024-01-03,200.0
20056,10058,2024-01-13,50.0
20057,10059,2024-01-10,10.0
20058,10060,2024-01-16,50.0
20059,10061,2024-01-10,50.0
20060,10062,2024-01-02,10.0
20061,10063,2024-01-09,10.0
20062,10064,2024-01-14,50.0
20063,10065,2024-01-06,10.0
20064,10066,2024-01-08,50.0
20065,10067,2024-01-18,200.0
20066,10068,2024-01-14,200.0
20067,10069,2024-01-04,200.0
20068,10070,2024-01-10,200.0
20069,10071,2024-01-04,200.0
20070,10072,2024-01-11,200.0
20071,10073,2024-01-18,10.0
20072,10074,2024-01-08,200.0
20073,10075,2024-01-16,185.27
20074,10076,2024-01-16,10.0
20075,10077,2024-01-07,50.0
20076,10078,2024-01-14,10.0
20077,10079,2024-01-20,200.0
20078,10080,2024-01-12,50.0
20079,10081,2024-01-03,10.0
20080,10082,2024-01-12,50.0
20081,10083,2024-01-08,50.0
20082,10084,2024-01-08,10.0
20083,10085,2024-01-06,10.0
20084,10086,2024-01-13,50.0
20085,10087,2024-01-13,50.0
20086,10088,2024-01-11,10.0
20087,10089,2024-01-02,50.0
20088,10090,2024-01-08,10.0
20089,10091,2024-01-13,10.0
20090,10092,2024-01-16,50.0
20091,10093,2024-01-12,10.0
20092,10094,2024-01-16,47.32
20093,10095,2024-01-12,50.0
20094,10096,2024-01-12,200.0
20095,10097,2024-01-10,200.0
20096,10098,2024-01-16,10.0
20097,10099,2024-01-02,200.0
20098,10100,2024-01-04,200.0
20099,10101,2024-01-18,200.0
20100,10102,2024-01-02,50.0
20101,10103,2024-01-11,9.65
20102,10104,2024-01-14,10.0
20103,10105,2024-01-04,50.0
20104,10106,2024-01-19,50.0
20105,10107,2024-01-12,10.0
20106,10108,2024-01-08,200.0
20107,10109,2024-01-07,200.0
20108,10110,2024-01-12,9.49
20109,10111,2024-01-05,10.0
20110,10112,2024-01-20,200.0
20111,10113,2024-01-03,200.0
20112,10114,2024-01-13,50.0
20113,10115,2024-01-02,200.0
20114,10116,2024-01-17,50.0
20115,10117,2024-01-05,50.0
20116,10118,2024-01-02,200.0
20117,10119,2024-01-20,10.0
20118,10120,2024-01-02,200.0
20119,10121,2024-01-02,10.0
20120,10122,2024-01-02,50.0
20121,10123,2024-01-05,10.0
20122,10124,2024-01-18,50.0
